Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Shift_Description,Hour_of_Day,Pedestrian_Cause_Description,Involved_Vehicle_Type,Gender_Description,Age,Person_Type_Description,Pedestrian_Accident_Location_Description,Pedestrian_Movement_Reason_Description,Driver_Movement_Reason_Description,Victimization_Description,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude,datetime
2023S002010    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Pau Casals,Sunday,2023,4,April,9,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,14,Passenger,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,428452.34,4583046.98,2.143032944,41.393928545,2023-04-09 15:00:00
2023S002011    ,Sant Martí,el Parc i la Llacuna del Poblenou,Marina,Sunday,2023,4,April,9,Afternoon,,Not caused by the pedestrian,Ciclomotor,Woman,32,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,432207.28,4583013.7,2.187948269,41.393954279,2023-04-09 16:00:00
2023S002014    ,Nou Barris,Vilapicina i la Torre Llobeta,Escòcia,Sunday,2023,4,April,9,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,39,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,431391.4,4586888.1,2.177750211,41.428780527,2023-04-09 21:00:00
2023S002016    ,Sants-Montjuïc,Sants,Tarragona,Monday,2023,4,April,10,Morning,,Not caused by the pedestrian,Ciclomotor,Man,25,Driver,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,428426.74,4581528.37,2.142906267,41.380248698,2023-04-10 11:00:00
2023S002017    ,Horta-Guinardó,la Vall d'Hebron,Dalt (Llobregat),Thursday,2023,2,February,23,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,24,Driver,Desconegut,Unknown,Unknown,Minor injury: Refused medical assistance,428389.44,4586359.41,2.141888429,41.423756676,2023-02-23 19:00:00
2023S002018    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,General Mitre,Monday,2023,4,April,10,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,20,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,427948.82,4583902.85,2.136908662,41.401592051,2023-04-10 14:00:00
2023S002021    ,Ciutat Vella,la Barceloneta,Sant Carles,Monday,2023,4,April,10,Afternoon,,Not caused by the pedestrian,Bicicleta,Man,21,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,432305.13,4581368.25,2.189302594,41.37914238,2023-04-10 17:00:00
2023S002022    ,Eixample,la Sagrada Família,València,Monday,2023,4,April,10,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,29,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,431003.64,4583748.25,2.173468165,41.400467722,2023-04-10 18:00:00
2023S002023    ,Sants-Montjuïc,el Poble-sec,Nou de la Rambla,Monday,2023,4,April,10,Afternoon,,Not caused by the pedestrian,Bicicleta,Woman,24,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,430474.18,4580652.63,2.167490303,41.372540786,2023-04-10 21:00:00
2023S002024    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,Indústria,Monday,2023,4,April,10,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,21,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430414.81,4584094.5,2.166384847,41.403535507,2023-04-10 20:00:00
2023S002025    ,Eixample,la Dreta de l'Eixample,Aragó,Tuesday,2023,4,April,11,Night,,Not caused by the pedestrian,Motorcycle,Man,47,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430109.98,4582647.64,2.162905446,41.390477664,2023-04-11 00:00:00
2023S002027    ,Unknown,Unknown,Unknown,Tuesday,2023,4,April,11,Morning,,Not caused by the pedestrian,Motorcycle,Woman,60,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429688.64,4584955.16,2.157598074,41.411223945,2023-04-11 08:00:00
2023S002028    ,Les Corts,les Corts,Guitard,Tuesday,2023,4,April,11,Morning,,Crossing outside the pedestrian crossing,Car,Woman,93,Pedestrian,Fora del pas,Unknown,Unknown,Minor injury: Medical assistance at accident site,427904.52,4581936.97,2.136612894,41.383882159,2023-04-11 10:00:00
2023S002029    ,Horta-Guinardó,el Baix Guinardó,Sant Antoni Maria Claret,Tuesday,2023,4,April,11,Morning,,Not caused by the pedestrian,Motorcycle,Woman,29,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,431057.95,4584924.54,2.173983748,41.411066849,2023-04-11 09:00:00
2023S002030    ,Sants-Montjuïc,el Poble-sec,Paral·lel,Tuesday,2023,4,April,11,Morning,,Not caused by the pedestrian,Motorcycle,Man,64,Pedestrian,En pas regulat per semàfor,Unknown,Unknown,Minor injury: Medical assistance at accident site,429362.65,4580936.13,2.154167022,41.374997338,2023-04-11 11:00:00
2023S002031    ,Horta-Guinardó,el Baix Guinardó,Gràcia,Tuesday,2023,4,April,11,Morning,,Not caused by the pedestrian,Motorcycle,Man,26,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430950.43,4584892.07,2.172701107,41.410765168,2023-04-11 11:00:00
2023S002033    ,Sant Andreu,Sant Andreu,Dalt (Llobregat),Tuesday,2023,4,April,11,Morning,,Not caused by the pedestrian,Motorcycle,Man,31,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,432517.75,4588903.87,2.191004105,41.447031369,2023-04-11 12:00:00
2023S002034    ,Sant Martí,el Poblenou,Llacuna,Tuesday,2023,4,April,11,Morning,,Not caused by the pedestrian,Motorcycle,Man,52,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,433418.5,4583522.03,2.202379433,41.398633932,2023-04-11 13:00:00
2023S002035    ,Eixample,el Fort Pienc,Sardenya,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Bicicleta,Woman,51,Pedestrian,En pas regulat per semàfor,Commuting,Unknown,Minor injury: Hospitalization up to 24 hours,431291.02,4583755.2,2.176904978,41.400554942,2023-04-11 14:00:00
2023S002036    ,Sarrià-Sant Gervasi,les Tres Torres,Augusta,Monday,2023,4,April,10,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,60,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,427572.86,4583501.22,2.132459522,41.397940935,2023-04-10 20:00:00
2023S002037    ,Sant Andreu,la Sagrera,Meridiana,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,36,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,432177.66,4586196.62,2.187237066,41.422619402,2023-04-11 14:00:00
2023S002038    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Gràcia,Tuesday,2023,4,April,11,Afternoon,,Crossing outside the pedestrian crossing,Bus,Man,34,Pedestrian,Fora del pas,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429034.03,4583323.58,2.149957864,41.39647135,2023-04-11 14:00:00
2023S002039    ,Eixample,la Dreta de l'Eixample,Aragó,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,25,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430702.86,4583273.46,2.16992465,41.396165558,2023-04-11 16:00:00
2023S002040    ,Les Corts,Pedralbes,Esplugues,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Car,Woman,38,Pedestrian,En pas regulat per semàfor,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,425782.15,4582777.9,2.111129132,41.391262948,2023-04-11 16:00:00
2023S002041    ,Eixample,el Fort Pienc,Marina,Tuesday,2023,4,April,11,Morning,,Not caused by the pedestrian,Motorcycle,Man,36,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,431545.26,4583698.06,2.179952636,41.400061997,2023-04-11 13:00:00
2023S002042    ,Sant Martí,Sant Martí de Provençals,Bac de Roda,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Ciclomotor,Man,49,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,432979.65,4585103.25,2.196954887,41.412839075,2023-04-11 14:00:00
2023S002043    ,Sant Andreu,Sant Andreu,Segre,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,54,Pedestrian,Desconegut,Other activities,Unknown,Minor injury: Hospitalization up to 24 hours,432607.67,4587457.23,2.192241947,41.434009525,2023-04-11 14:00:00
2023S002044    ,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,General Mitre,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,58,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,427920.27,4583923.31,2.136564711,41.401773765,2023-04-11 14:00:00
2023S002045    ,Gràcia,la Vila de Gràcia,Gran de Gràcia,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Bicicleta,Man,20,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429470.88,4583677.28,2.155141834,41.399695455,2023-04-11 17:00:00
2023S002046    ,Eixample,la Dreta de l'Eixample,Pelai,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Ciclomotor,Woman,18,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430643.28,4582079.93,2.169348755,41.385410662,2023-04-11 14:00:00
2023S002047    ,Unknown,Unknown,Unknown,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,18,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,430428.31,4585222.71,2.166416561,41.413698077,2023-04-11 15:00:00
2023S002048    ,Sant Andreu,el Bon Pastor,Potosí,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,42,Driver,Desconegut,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,433242.65,4588428.8,2.199734042,41.442813216,2023-04-11 15:00:00
2023S002049    ,Eixample,la Nova Esquerra de l'Eixample,Corts Catalanes,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Car,Woman,38,Passenger,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,429268.61,4581221.78,2.153009222,41.377561831,2023-04-11 16:00:00
2023S002050    ,Sarrià-Sant Gervasi,Sarrià,Institut Químic de Sarrià,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Car,Woman,33,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,426568.53,4584019.49,2.120383589,41.402517629,2023-04-11 17:00:00
2023S002051    ,Les Corts,les Corts,Europa,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Car,Woman,6,Passenger,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,427282.37,4582280.53,2.129131536,41.386920444,2023-04-11 18:00:00
2023S002052    ,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Llobregat),Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,55,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,428987.7,4578250.53,2.14999829,41.350775953,2023-04-11 17:00:00
2023S002053    ,Eixample,la Dreta de l'Eixample,Girona,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Taxi,Woman,16,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430595.65,4583334.94,2.168635254,41.396710038,2023-04-11 21:00:00
2023S002054    ,Eixample,Sant Antoni,Paral·lel,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,30,Driver,Desconegut,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,429593.61,4580955.64,2.156926377,41.375193309,2023-04-11 18:00:00
2023S002055    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,General Mitre,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,60,Pedestrian,En pas sense regular,Leisure and entertainment,Unknown,Minor injury: Medical assistance at accident site,427747.31,4583669.72,2.134526048,41.39947425,2023-04-11 18:00:00
2023S002056    ,Nou Barris,Vilapicina i la Torre Llobeta,Fabra i Puig,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,24,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431370.38,4587010.59,2.177484749,41.429881955,2023-04-11 18:00:00
2023S002057    ,Eixample,la Sagrada Família,Marina,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,40,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,431420.81,4583832.37,2.178448766,41.401261076,2023-04-11 20:00:00
2023S002058    ,Eixample,la Dreta de l'Eixample,València,Wednesday,2023,4,April,12,Night,,Not caused by the pedestrian,Tricicle,Man,27,Driver,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,430690.5,4583426.61,2.169759271,41.397543866,2023-04-12 01:00:00
2023S002059    ,Sant Andreu,Sant Andreu,B-20 (Besòs),Wednesday,2023,4,April,12,Morning,,Not caused by the pedestrian,Motorcycle,Man,49,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,432598.95,4588910.2,2.1919754,41.447095207,2023-04-12 06:00:00
2023S002060    ,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs),Wednesday,2023,4,April,12,Morning,,Not caused by the pedestrian,Car,Man,50,Driver,Desconegut,Unknown,On a mission,Minor injury: Hospitalization up to 24 hours,427024.81,4577263.64,2.126655274,41.341711822,2023-04-12 09:00:00
2023S002061    ,Les Corts,Pedralbes,Gran Capità,Wednesday,2023,4,April,12,Morning,,Not caused by the pedestrian,Bicicleta,Woman,35,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,425611.89,4582432.48,2.109135269,41.388136168,2023-04-12 09:00:00
2023S002063    ,Horta-Guinardó,Horta,Estatut de Catalunya,Wednesday,2023,4,April,12,Morning,,Not caused by the pedestrian,Motorcycle,Man,60,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429270.14,4587461.07,2.152297976,41.433756942,2023-04-12 10:00:00
2023S002064    ,Sant Martí,el Parc i la Llacuna del Poblenou,Almogàvers,Wednesday,2023,4,April,12,Morning,,Not caused by the pedestrian,Motorcycle,Man,45,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Medical assistance at accident site,431836.57,4582831.91,2.183534789,41.392285594,2023-04-12 08:00:00
2023S002065    ,Unknown,Unknown,Unknown,Wednesday,2023,4,April,12,Morning,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Woman,18,Passenger,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,433851.01,4584977.92,2.207393744,41.411782494,2023-04-12 11:00:00
2023S002066    ,Sant Andreu,Navas,Meridiana,Wednesday,2023,4,April,12,Morning,,Not caused by the pedestrian,Car,Woman,39,Driver,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,432170.5,4585571.53,2.187221534,41.416988807,2023-04-12 12:00:00
2023S002067    ,Ciutat Vella,el Barri Gòtic,Ample,Wednesday,2023,4,April,12,Morning,,Crossing outside the pedestrian crossing,Motorcycle,Man,30,Pedestrian,Fora del pas,Unknown,Unknown,Minor injury: Medical assistance at accident site,431468.97,4581408.1,2.1792993,41.379430476,2023-04-12 11:00:00
2023S002068    ,Sant Andreu,la Trinitat Vella,Peníscola,Wednesday,2023,4,April,12,Morning,,Not caused by the pedestrian,Motorcycle,Man,62,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,432280.29,4589533.12,2.188090996,41.452678789,2023-04-12 12:00:00
2023S002069    ,Horta-Guinardó,el Guinardó,Segle XX,Wednesday,2023,4,April,12,Morning,,Not caused by the pedestrian,Car,Man,22,Pedestrian,En pas sense regular,Unknown,Unknown,Minor injury: Medical assistance at accident site,431298.62,4586256.4,2.176711725,41.423083089,2023-04-12 13:00:00
2023S002070    ,Sant Andreu,el Bon Pastor,Potosí,Wednesday,2023,4,April,12,Morning,,Not caused by the pedestrian,Motorcycle,Man,36,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,433242.65,4588428.8,2.199734042,41.442813216,2023-04-12 12:00:00
2023S002071    ,Eixample,l'Antiga Esquerra de l'Eixample,Buenos Aires,Wednesday,2023,4,April,12,Morning,,Not caused by the pedestrian,Bus,Woman,89,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428794.3,4582881.46,2.147142455,41.392468133,2023-04-12 09:00:00
2023S002072    ,Sarrià-Sant Gervasi,Sarrià,Major de Sarrià,Wednesday,2023,4,April,12,Morning,,Not caused by the pedestrian,Furgoneta,Woman,87,Pedestrian,En zona peatonal,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,426959.73,4583298.13,2.125150228,41.396056301,2023-04-12 13:00:00
2023S002073    ,Eixample,l'Antiga Esquerra de l'Eixample,Diagonal,Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,55,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,429265.14,4583110.78,2.152747057,41.394575109,2023-04-12 14:00:00
2023S002074    ,Sant Martí,el Besòs i el Maresme,Cristóbal de Moura,Wednesday,2023,4,April,12,Morning,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Man,19,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,434328.9,4585442.7,2.213060762,41.416007866,2023-04-12 13:00:00
2023S002075    ,Horta-Guinardó,la Font d'en Fargues,Garriga i Roca,Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,38,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430711.74,4586255.07,2.169689268,41.423020681,2023-04-12 16:00:00
2023S002076    ,Sants-Montjuïc,Sants,Sant Antoni,Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,45,Driver,Desconegut,Unknown,On a mission,Minor injury: Hospitalization up to 24 hours,427857.38,4581059.06,2.136153725,41.375970919,2023-04-12 16:00:00
2023S002077    ,Sants-Montjuïc,Sants,Josep Tarradellas,Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Bicicleta,Woman,32,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428380.03,4582052.83,2.142285683,41.384968163,2023-04-12 16:00:00
2023S002078    ,Sants-Montjuïc,la Bordeta,Olzinelles,Wednesday,2023,4,April,12,Morning,,Not caused by the pedestrian,Bicicleta,Man,46,Driver,Desconegut,Unknown,Unknown,Serious injury: Hospitalization over 24 hours,427964.59,4580450.48,2.137508017,41.370499264,2023-04-12 13:00:00
2023S002079    ,Eixample,la Nova Esquerra de l'Eixample,Corts Catalanes,Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,37,Driver,En pas regulat per semàfor,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,429710.45,4581660.9,2.158241616,41.381555584,2023-04-12 16:00:00
2023S002080    ,Eixample,la Dreta de l'Eixample,Diagonal,Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,49,Driver,Desconegut,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,430195.21,4583467.25,2.16383027,41.39786703,2023-04-12 18:00:00
2023S002081    ,Sant Martí,el Camp de l'Arpa del Clot,València,Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,59,Driver,Desconegut,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,432044.51,4584734.45,2.185808149,41.409438833,2023-04-12 19:00:00
2023S002082    ,Horta-Guinardó,Montbau,Dalt (Besòs),Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,32,Driver,Desconegut,Unknown,Commuting,Minor injury: Refused medical assistance,428564.96,4586831.81,2.143932866,41.428027018,2023-04-12 19:00:00
2023S002083    ,Eixample,la Dreta de l'Eixample,Diagonal,Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Bicicleta,Man,21,Driver,Desconegut,Unknown,Commuting,Minor injury: Medical assistance at accident site,430134.59,4583421.81,2.163110418,41.397452499,2023-04-12 17:00:00
2023S002084    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,Nàpols,Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Ciclomotor,Woman,30,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,430603.22,4584092.49,2.168638915,41.403533698,2023-04-12 18:00:00
2023S002085    ,Eixample,l'Antiga Esquerra de l'Eixample,Diagonal,Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,38,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429052.77,4583041.43,2.150215089,41.39393178,2023-04-12 20:00:00
2023S002086    ,Sants-Montjuïc,la Marina de Port,Corts Catalanes,Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,33,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,428098.17,4580082.76,2.139148762,41.367199287,2023-04-12 14:00:00
2023S002087    ,Sarrià-Sant Gervasi,Sarrià,Bonanova,Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,22,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,426822.03,4583866.92,2.123434429,41.401166623,2023-04-12 21:00:00
2023S002088    ,Eixample,Sant Antoni,Paral·lel,Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Woman,39,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429703.36,4580954.12,2.158238854,41.375189219,2023-04-12 21:00:00
2023S002089    ,Sant Martí,Provençals del Poblenou,Diagonal,Wednesday,2023,4,April,12,Night,,Not caused by the pedestrian,Motorcycle,Man,54,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,433090.05,4584419.2,2.198351418,41.406687227,2023-04-12 22:00:00
2023S002090    ,Horta-Guinardó,el Baix Guinardó,Sant Antoni Maria Claret,Thursday,2023,4,April,13,Night,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Man,45,Driver,Desconegut,Unknown,Unknown,Serious injury: Hospitalization over 24 hours,430994.0,4584846.26,2.173227595,41.410356316,2023-04-13 01:00:00
2023S002091    ,Sant Martí,el Parc i la Llacuna del Poblenou,Pallars,Thursday,2023,4,April,13,Night,,Not caused by the pedestrian,Motorcycle,Woman,44,Passenger,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,432573.4,4583372.51,2.192287352,41.397216783,2023-04-13 01:00:00
2023S002092    ,Ciutat Vella,el Barri Gòtic,Laietana,Thursday,2023,4,April,13,Night,,Not caused by the pedestrian,Ciclomotor,Woman,25,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431045.86,4582285.18,2.174139876,41.387293917,2023-04-13 03:00:00
2023S002093    ,Sants-Montjuïc,la Marina del Prat Vermell,Estany,Thursday,2023,4,April,13,Night,,Not caused by the pedestrian,Car,Man,41,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428253.12,4578682.57,2.14116699,41.354602066,2023-04-13 03:00:00
2023S002094    ,Eixample,la Nova Esquerra de l'Eixample,Corts Catalanes,Tuesday,2023,4,April,11,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,38,Driver,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,429106.07,4581060.32,2.151084529,41.376093302,2023-04-11 17:00:00
2023S002095    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral (Llobregat),Wednesday,2023,4,April,12,Afternoon,,Not caused by the pedestrian,Car,Man,49,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,434020.31,4583616.44,2.209567765,41.399533898,2023-04-12 17:00:00
2023S002097    ,Sants-Montjuïc,la Marina de Port,Zona Franca,Tuesday,2023,4,April,4,Afternoon,,Not caused by the pedestrian,Bicicleta,Man,61,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428200.17,4579031.23,2.140492779,41.357737613,2023-04-04 20:00:00
2023S002098    ,Sant Martí,el Poblenou,Bac de Roda,Thursday,2023,4,April,13,Morning,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Woman,41,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,433607.3,4584461.61,2.204534671,41.407112116,2023-04-13 08:00:00
2023S002099    ,Nou Barris,Verdun,Favència,Thursday,2023,4,April,13,Morning,,Not caused by the pedestrian,Motorcycle,Man,35,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431075.7,4588595.92,2.17377731,41.444135188,2023-04-13 07:00:00
2023S002100    ,Sarrià-Sant Gervasi,les Tres Torres,Augusta,Thursday,2023,4,April,13,Morning,,Not caused by the pedestrian,Motorcycle,Man,27,Driver,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,427360.12,4583470.44,2.129918577,41.397644512,2023-04-13 09:00:00
2023S002101    ,Eixample,la Nova Esquerra de l'Eixample,Entença,Thursday,2023,4,April,13,Morning,,Not caused by the pedestrian,Car,Woman,93,Pedestrian,En pas regulat per semàfor,Leisure and entertainment,Unknown,Minor injury: Hospitalization up to 24 hours,428861.39,4581681.48,2.148085861,41.381666275,2023-04-13 12:00:00
2023S002102    ,Eixample,la Dreta de l'Eixample,Diagonal,Thursday,2023,4,April,13,Morning,,Not caused by the pedestrian,Ciclomotor,Man,25,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430134.59,4583421.81,2.163110418,41.397452499,2023-04-13 12:00:00
2023S002103    ,Horta-Guinardó,la Font d'en Fargues,Maragall,Thursday,2023,4,April,13,Morning,,Not caused by the pedestrian,Bus,Woman,61,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430294.46,4586781.5,2.164635381,41.427725924,2023-04-13 10:00:00
2023S002104    ,Eixample,Sant Antoni,Floridablanca,Thursday,2023,4,April,13,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,34,Passenger,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,429816.75,4581391.53,2.159544002,41.379138738,2023-04-13 15:00:00
2023S002105    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,Sant Antoni Maria Claret,Thursday,2023,4,April,13,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,44,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,430228.01,4584092.68,2.164150481,41.403502916,2023-04-13 16:00:00
2023S002106    ,Sant Andreu,Sant Andreu,Favència,Thursday,2023,4,April,13,Afternoon,,Not caused by the pedestrian,Furgoneta,Man,51,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,432311.0,4588875.0,2.18853245,41.44675393,2023-04-13 15:00:00
