Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Shift_Description,Hour_of_Day,Pedestrian_Cause_Description,Involved_Vehicle_Type,Gender_Description,Age,Person_Type_Description,Pedestrian_Accident_Location_Description,Pedestrian_Movement_Reason_Description,Driver_Movement_Reason_Description,Victimization_Description,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude,datetime
2023S006512    ,Eixample,l'Antiga Esquerra de l'Eixample,Rosselló,Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,25,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,429361.44,4582684.36,2.153948637,41.390742961,2023-11-03 14:00:00
2023S006513    ,Sants-Montjuïc,la Marina del Prat Vermell,Mare de Déu de Port,Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,50,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429174.59,4578380.27,2.15221698,41.351960949,2023-11-03 15:00:00
2023S006514    ,Eixample,el Fort Pienc,Marina,Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,44,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,431452.23,4583798.16,2.178828488,41.400955638,2023-11-03 14:00:00
2023S006515    ,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs),Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,31,Driver,Desconegut,Unknown,Commuting,Minor injury: Medical assistance at accident site,430613.07,4579536.42,2.169278766,41.362499379,2023-11-03 17:00:00
2023S006516    ,Nou Barris,Canyelles,Dalt (Besòs),Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,56,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,430193.41,4588185.01,2.163263932,41.440358012,2023-11-03 16:00:00
2023S006517    ,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 2,Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,"Camió rígid <= 3,5 tones",Man,57,Pedestrian,Fora del pas,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,426173.15,4576467.9,2.116573923,41.33446724,2023-11-03 14:00:00
2023S006518    ,Gràcia,Vallcarca i els Penitents,Vallcarca,Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,49,Driver,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,428999.48,4584614.21,2.149393149,41.408092522,2023-11-03 16:00:00
2023S006519    ,Sants-Montjuïc,el Poble-sec,Francesc Ferrer i Guàrdia,Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,54,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429128.42,4580567.28,2.151409448,41.37165462,2023-11-03 15:00:00
2023S006520    ,Eixample,la Sagrada Família,Còrsega,Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Man,18,Driver,Desconegut,Unknown,Other activities,Minor injury: Medical assistance at accident site,431016.47,4584514.42,2.173534269,41.407369472,2023-11-03 18:00:00
2023S006521    ,Horta-Guinardó,Montbau,Dalt (Besòs),Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,54,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,428441.28,4586554.86,2.142485606,41.425521633,2023-11-03 20:00:00
